baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000102948.1	24.4795464417954	-0.404992144234083	0.346010075501593	-1.17046344285491	0.241814517445492	0.39060656162427
ENSMUSG00000102269.1	4.92016403165189	-0.324775107000712	0.375645333941976	-0.86457910602153	0.387269844561443	0.543695688655641
ENSMUSG00000102735.1	20.1812797079165	-0.950394751173777	0.256361653821822	-3.70724223769568	0.000209528503877666	0.00153500840795484
ENSMUSG00000102175.1	7.19195726745795	-0.870555855078309	0.288419816298726	-3.01836353080763	0.002541438373866	0.0118356514845749
ENSMUSG00000103922.1	11.7509255866652	-0.469824682323192	0.320643557462858	-1.46525533224729	0.142851268308914	0.266665693936578
ENSMUSG00000033845.13	29.5122279515675	1.2218263333289	0.29132042035048	4.19409779739762	2.7395977506825e-05	0.00028501039991346
ENSMUSG00000025903.14	8.36284555452507	-0.00397434983842081	0.415212142646938	-0.0095718535905157	0.992362882421311	0.995440410390477
ENSMUSG00000033813.15	130.090090468118	0.708952505396571	0.172347871264946	4.11349731327239	3.89709578853551e-05	0.000383034994906335
ENSMUSG00000062588.4	36.3703961529564	0.69219845347716	0.281924199525722	2.45526441022671	0.0140780996542973	0.0463366129232098
ENSMUSG00000033793.12	278.813678499322	0.584391730621626	0.232703576882068	2.51131391468809	0.0120282682896613	0.0407857220146102
ENSMUSG00000025907.14	400.074657963798	0.383718165570784	0.250160049399586	1.53389066916062	0.125056551886813	0.242128357489541
ENSMUSG00000103355.1	9.49684742424482	1.50223652828245	0.597957813636692	2.51227844845118	0.0119954399005799	0.0407120271856249
ENSMUSG00000103845.1	6.61115061244289	0.904127472841635	0.389812698948985	2.31938947930467	0.0203739275852646	0.0613277063013708
ENSMUSG00000104385.1	44.857326434284	0.506737014905566	0.213119282734432	2.37771546714997	0.0174202621340601	0.0546411630969607
ENSMUSG00000051285.17	224.8305226668	0.156986404103658	0.239964554102379	0.654206637688167	0.512978685740278	0.658433681047586
ENSMUSG00000048538.7	172.179903330101	1.20671798847603	0.199424506452788	6.05100150397873	1.43948104122967e-09	7.96115058760906e-08
ENSMUSG00000084353.1	19.2078475908146	1.01409361121249	0.27256195469497	3.72059854188888	0.000198751170345347	0.00147426684660614
ENSMUSG00000061024.8	16.4221355668944	0.88930110881244	0.546287727864617	1.62789874905048	0.103546356726537	0.210404304530565
